Sample Name	Collection_Date	Sample shortname	Total Reads	Days	Days_from_previous_sampling	Infected	Infected (%)	Calculated Abundance	Background Reads	Lambda	Pathogen Reads	Actual Abundance	Actual Abundance (%)
HTP_12_22_2020_INF_unenriched	2020-12-22	HTP_12_22_2020_INF_unenriched	8861526	0	7.0	0.0001	0.01	1e-08	8861526	0.08861526088615261	0	0.0	0.0
HTP_12_29_2020_INF_unenriched	2020-12-29	HTP_12_29_2020_INF_unenriched	11504066	7	7.0	0.00021836601342771386	0.021836601342771385	2.1836601342771388e-08	9999175	0.21834800299958437	0	0.0	0.0
HTP_01_03_2021_INF_unenriched	2021-01-03	HTP_01_03_2021_INF_unenriched	9626457	12	5.0	0.0003814697265625	0.03814697265625	3.814697265625e-08	9626457	0.3672202059639056	0	0.0	0.0
HTP_1_5_21	2021-01-05	HTP_1_5_21	30197133	14	2.0	0.000476837158203125	0.0476837158203125	4.76837158203125e-08	10001866	0.4769261587584572	1	9.998133348503835e-08	9.998133348503834e-06
HTP_1_7_21	2021-01-07	HTP_1_7_21	30116471	16	2.0	0.0005960464477539062	0.059604644775390625	5.960464477539063e-08	9999102	0.5959929583068465	0	0.0	0.0
HTP_1_10_21	2021-01-10	HTP_1_10_21	16123940	19	3.0	0.0008330002343281321	0.0833000234328132	8.33000234328132e-08	10006195	0.8335163474052296	4	3.9975219361517793e-07	3.997521936151779e-05
HTP_1_12_21	2021-01-12	HTP_1_12_21	19397585	21	2.0	0.0010412502929101652	0.10412502929101651	1.0412502929101653e-07	9998344	1.0410779702639334	0	0.0	0.0
HTP_1_14_21	2021-01-14	HTP_1_14_21	35541273	23	2.0	0.0013015628661377063	0.13015628661377063	1.3015628661377063e-07	9998591	1.3013796453126096	0	0.0	0.0
HTP_1_19_21	2021-01-19	HTP_1_19_21	42128435	28	5.0	0.0022737367544323206	0.22737367544323206	2.2737367544323206e-07	10003587	2.2745528609795795	3	2.998923386504245e-07	2.998923386504245e-05
HTP_1_21_21	2021-01-21	HTP_1_21_21	33096849	30	2.0	0.0028421709430404007	0.2842170943040401	2.842170943040401e-07	10004053	2.8433236830448103	2	1.9991893287272012e-07	1.9991893287272012e-05
HTP_1_24_21	2021-01-24	HTP_1_24_21	14541009	33	3.0	0.0039720546451956365	0.3972054645195637	3.9720546451956366e-07	10001773	3.972760468486397	3	2.9994672946084773e-07	2.9994672946084773e-05
HTP_1_26_21	2021-01-26	HTP_1_26_21	14688921	35	2.0	0.0049650683064945455	0.49650683064945456	4.965068306494546e-07	10003414	4.966765846847552	6	5.997948701544072e-07	5.997948701544072e-05
HTP_1_28_21	2021-01-28	HTP_1_28_21	8588294	37	2.0	0.006206335383118183	0.6206335383118183	6.206335383118184e-07	8588294	5.330186601374731	4	4.65750024044345e-07	4.65750024044345e-05
HTP_1_31_21	2021-01-31	HTP_1_31_21	31167284	40	3.0	0.008673617379884035	0.8673617379884035	8.673617379884035e-07	9998559	8.672375033705876	5	5.000718103119608e-07	5.0007181031196074e-05
HTP_2_2_21	2021-02-02	HTP_2_2_21	22119886	42	2.0	0.010842021724855044	1.0842021724855044	1.0842021724855044e-06	10000458	10.842530044944672	16	1.5999241635946455e-06	0.00015999241635946456
HTP_2_7_21	2021-02-07	HTP_2_7_21	26508968	47	5.0	0.018940232492426094	1.8940232492426095	1.8940232492426094e-06	9998559	18.937539073063224	15	1.5002139305064903e-06	0.00015002139305064904
HTP_2_9_21	2021-02-09	HTP_2_9_21	28860531	49	2.0	0.02367529061553262	2.367529061553262	2.367529061553262e-06	10002184	23.680517363316103	16	1.5996480774229669e-06	0.00015996480774229668
HTP_2_10_21	2021-02-10	HTP_2_10_21	24322097	50	1.0	0.02646977960169689	2.646977960169689	2.646977960169689e-06	10001769	26.474532183211625	27	2.699515167075993e-06	0.0002699515167075993
HTP_2_15_21	2021-02-15	HTP_2_15_21	20575397	55	5.0	0.04624080198346214	4.624080198346214	4.624080198346214e-06	9994135	46.21389544985768	49	4.902851498431488e-06	0.0004902851498431488
HTP_2_16_21	2021-02-16	HTP_2_16_21	21817522	56	1.0	0.05169878828456423	5.169878828456423	5.169878828456423e-06	10002107	51.709948553424034	55	5.498811157027851e-06	0.000549881115702785
